Name	Description	Company	Type no	no of channels
APOGEE PAR-NIR	APOGEE PAR-NIR	APOGEE	100	1100
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	400	0.5		
2	400.5	0.5		
3	401	0.5		
4	401.5	0.5		
5	402	0.5		
6	402.5	0.5		
7	403	0.5		
8	403.5	0.5		
9	404	0.5		
10	404.5	0.5		
11	405	0.5		
12	405.5	0.5		
13	406	0.5		
14	406.5	0.5
15	407	0.5
16	407.5	0.5
17	408	0.5
18	408.5	0.5
19	409	0.5
20	409.5	0.5
21	410	0.5
22	410.5	0.5
23	411	0.5
24	411.5	0.5
25	412	0.5
26	412.5	0.5
27	413	0.5
28	413.5	0.5
29	414	0.5
30	414.5	0.5
31	415	0.5
32	415.5	0.5
33	416	0.5
34	416.5	0.5
35	417	0.5
36	417.5	0.5
37	418	0.5
38	418.5	0.5
39	419	0.5
40	419.5	0.5
41	420	0.5
42	420.5	0.5
43	421	0.5
44	421.5	0.5
45	422	0.5
46	422.5	0.5
47	423	0.5
48	423.5	0.5
49	424	0.5
50	424.5	0.5
51	425	0.5
52	425.5	0.5
53	426	0.5
54	426.5	0.5
55	427	0.5
56	427.5	0.5
57	428	0.5
58	428.5	0.5
59	429	0.5
60	429.5	0.5
61	430	0.5
62	430.5	0.5
63	431	0.5
64	431.5	0.5
65	432	0.5
66	432.5	0.5
67	433	0.5
68	433.5	0.5
69	434	0.5
70	434.5	0.5
71	435	0.5
72	435.5	0.5
73	436	0.5
74	436.5	0.5
75	437	0.5
76	437.5	0.5
77	438	0.5
78	438.5	0.5
79	439	0.5
80	439.5	0.5
81	440	0.5
82	440.5	0.5
83	441	0.5
84	441.5	0.5
85	442	0.5
86	442.5	0.5
87	443	0.5
88	443.5	0.5
89	444	0.5
90	444.5	0.5
91	445	0.5
92	445.5	0.5
93	446	0.5
94	446.5	0.5
95	447	0.5
96	447.5	0.5
97	448	0.5
98	448.5	0.5
99	449	0.5
100	449.5	0.5
101	450	0.5
102	450.5	0.5
103	451	0.5
104	451.5	0.5
105	452	0.5
106	452.5	0.5
107	453	0.5
108	453.5	0.5
109	454	0.5
110	454.5	0.5
111	455	0.5
112	455.5	0.5
113	456	0.5
114	456.5	0.5
115	457	0.5
