Name	Description	Company	Type no	no of channels
ASD FSVNIR	FSVNIR_INSTRUMENT	ASD	3	701
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	350	2		
2	351	2		
3	352	2		
4	353	2		
5	354	2		
6	355	2		
7	356	2		
8	357	2		
9	358	2		
10	359	2		
11	360	2		
12	361	2		
13	362	2		
14	363	2
15	364	2
16	365	2
17	366	2
18	367	2
19	368	2
20	369	2
21	370	2
22	371	2
23	372	2
24	373	2
25	374	2
26	375	2
27	376	2
28	377	2
29	378	2
30	379	2
31	380	2
32	381	2
33	382	2
34	383	2
35	384	2
36	385	2
37	386	2
38	387	2
39	388	2
40	389	2
41	390	2
42	391	2
43	392	2
44	393	2
45	394	2
46	395	2
47	396	2
48	397	2
49	398	2
50	399	2
51	400	2
52	401	2
53	402	2
54	403	2
55	404	2
56	405	2
57	406	2
58	407	2
59	408	2
60	409	2
61	410	2
62	411	2
63	412	2
64	413	2
65	414	2
66	415	2
67	416	2
68	417	2
69	418	2
70	419	2
71	420	2
72	421	2
73	422	2
74	423	2
75	424	2
76	425	2
77	426	2
78	427	2
79	428	2
80	429	2
81	430	2
82	431	2
83	432	2
84	433	2
85	434	2
86	435	2
87	436	2
88	437	2
89	438	2
90	439	2
91	440	2
92	441	2
93	442	2
94	443	2
95	444	2
96	445	2
97	446	2
98	447	2
99	448	2
100	449	2
101	450	2
102	451	2
103	452	2
104	453	2
105	454	2
106	455	2
107	456	2
108	457	2
109	458	2
110	459	2
111	460	2
112	461	2
113	462	2
114	463	2
115	464	2
116	465	2
117	466	2
118	467	2
119	468	2
120	469	2
121	470	2
122	471	2
123	472	2
124	473	2
125	474	2
126	475	2
127	476	2
128	477	2
129	478	2
130	479	2
131	480	2
132	481	2
133	482	2
134	483	2
135	484	2
136	485	2
137	486	2
138	487	2
139	488	2
140	489	2
141	490	2
142	491	2
143	492	2
144	493	2
145	494	2
146	495	2
147	496	2
148	497	2
149	498	2
150	499	2
151	500	2
152	501	2
153	502	2
154	503	2
155	504	2
156	505	2
157	506	2
158	507	2
159	508	2
160	509	2
161	510	2
162	511	2
163	512	2
164	513	2
165	514	2
166	515	2
167	516	2
168	517	2
169	518	2
170	519	2
171	520	2
172	521	2
173	522	2
174	523	2
175	524	2
176	525	2
177	526	2
178	527	2
179	528	2
180	529	2
181	530	2
182	531	2
183	532	2
184	533	2
185	534	2
186	535	2
187	536	2
188	537	2
189	538	2
190	539	2
191	540	2
192	541	2
193	542	2
194	543	2
195	544	2
196	545	2
197	546	2
198	547	2
199	548	2
200	549	2
201	550	2
202	551	2
203	552	2
204	553	2
205	554	2
206	555	2
207	556	2
208	557	2
209	558	2
210	559	2
211	560	2
212	561	2
213	562	2
214	563	2
215	564	2
216	565	2
217	566	2
218	567	2
219	568	2
220	569	2
221	570	2
222	571	2
223	572	2
224	573	2
225	574	2
226	575	2
227	576	2
228	577	2
229	578	2
230	579	2
231	580	2
232	581	2
233	582	2
234	583	2
235	584	2
236	585	2
237	586	2
238	587	2
239	588	2
240	589	2
241	590	2
242	591	2
243	592	2
244	593	2
245	594	2
246	595	2
247	596	2
248	597	2
249	598	2
250	599	2
251	600	2
252	601	2
253	602	2
254	603	2
255	604	2
256	605	2
257	606	2
258	607	2
259	608	2
260	609	2
261	610	2
262	611	2
263	612	2
264	613	2
265	614	2
266	615	2
267	616	2
268	617	2
269	618	2
270	619	2
271	620	2
272	621	2
273	622	2
274	623	2
275	624	2
276	625	2
277	626	2
278	627	2
279	628	2
280	629	2
281	630	2
282	631	2
283	632	2
284	633	2
285	634	2
286	635	2
287	636	2
288	637	2
289	638	2
290	639	2
291	640	2
292	641	2
293	642	2
294	643	2
295	644	2
296	645	2
297	646	2
298	647	2
299	648	2
300	649	2
301	650	2
302	651	2
303	652	2
304	653	2
305	654	2
306	655	2
307	656	2
308	657	2
309	658	2
310	659	2
311	660	2
312	661	2
313	662	2
314	663	2
315	664	2
316	665	2
317	666	2
318	667	2
319	668	2
320	669	2
321	670	2
322	671	2
323	672	2
324	673	2
325	674	2
326	675	2
327	676	2
328	677	2
329	678	2
330	679	2
331	680	2
332	681	2
333	682	2
334	683	2
335	684	2
336	685	2
337	686	2
338	687	2
339	688	2
340	689	2
341	690	2
342	691	2
343	692	2
344	693	2
345	694	2
346	695	2
347	696	2
348	697	2
349	698	2
350	699	2
351	700	2
352	701	2
353	702	2
354	703	2
355	704	2
356	705	2
357	706	2
358	707	2
359	708	2
360	709	2
361	710	2
362	711	2
363	712	2
364	713	2
365	714	2
366	715	2
367	716	2
368	717	2
369	718	2
370	719	2
371	720	2
372	721	2
373	722	2
374	723	2
375	724	2
376	725	2
377	726	2
378	727	2
379	728	2
380	729	2
381	730	2
382	731	2
383	732	2
384	733	2
385	734	2
386	735	2
387	736	2
388	737	2
389	738	2
390	739	2
391	740	2
392	741	2
393	742	2
394	743	2
395	744	2
396	745	2
397	746	2
398	747	2
399	748	2
400	749	2
401	750	2
402	751	2
403	752	2
404	753	2
405	754	2
406	755	2
407	756	2
408	757	2
409	758	2
410	759	2
411	760	2
412	761	2
413	762	2
414	763	2
415	764	2
416	765	2
417	766	2
418	767	2
419	768	2
420	769	2
421	770	2
422	771	2
423	772	2
424	773	2
425	774	2
426	775	2
427	776	2
428	777	2
429	778	2
430	779	2
431	780	2
432	781	2
433	782	2
434	783	2
435	784	2
436	785	2
437	786	2
438	787	2
439	788	2
440	789	2
441	790	2
442	791	2
443	792	2
444	793	2
445	794	2
446	795	2
447	796	2
448	797	2
449	798	2
450	799	2
451	800	2
452	801	2
453	802	2
454	803	2
455	804	2
456	805	2
457	806	2
458	807	2
459	808	2
460	809	2
461	810	2
462	811	2
463	812	2
464	813	2
465	814	2
466	815	2
467	816	2
468	817	2
469	818	2
470	819	2
471	820	2
472	821	2
473	822	2
474	823	2
475	824	2
476	825	2
477	826	2
478	827	2
479	828	2
480	829	2
481	830	2
482	831	2
483	832	2
484	833	2
485	834	2
486	835	2
487	836	2
488	837	2
489	838	2
490	839	2
491	840	2
492	841	2
493	842	2
494	843	2
495	844	2
496	845	2
497	846	2
498	847	2
499	848	2
500	849	2
501	850	2
502	851	2
503	852	2
504	853	2
505	854	2
506	855	2
507	856	2
508	857	2
509	858	2
510	859	2
511	860	2
512	861	2
513	862	2
514	863	2
515	864	2
516	865	2
517	866	2
518	867	2
519	868	2
520	869	2
521	870	2
522	871	2
523	872	2
524	873	2
525	874	2
526	875	2
527	876	2
528	877	2
529	878	2
530	879	2
531	880	2
532	881	2
533	882	2
534	883	2
535	884	2
536	885	2
537	886	2
538	887	2
539	888	2
540	889	2
541	890	2
542	891	2
543	892	2
544	893	2
545	894	2
546	895	2
547	896	2
548	897	2
549	898	2
550	899	2
551	900	2
552	901	2
553	902	2
554	903	2
555	904	2
556	905	2
557	906	2
558	907	2
559	908	2
560	909	2
561	910	2
562	911	2
563	912	2
564	913	2
565	914	2
566	915	2
567	916	2
568	917	2
569	918	2
570	919	2
571	920	2
572	921	2
573	922	2
574	923	2
575	924	2
576	925	2
577	926	2
578	927	2
579	928	2
580	929	2
581	930	2
582	931	2
583	932	2
584	933	2
585	934	2
586	935	2
587	936	2
588	937	2
589	938	2
590	939	2
591	940	2
592	941	2
593	942	2
594	943	2
595	944	2
596	945	2
597	946	2
598	947	2
599	948	2
600	949	2
601	950	2
602	951	2
603	952	2
604	953	2
605	954	2
606	955	2
607	956	2
608	957	2
609	958	2
610	959	2
611	960	2
612	961	2
613	962	2
614	963	2
615	964	2
616	965	2
617	966	2
618	967	2
619	968	2
620	969	2
621	970	2
622	971	2
623	972	2
624	973	2
625	974	2
626	975	2
627	976	2
628	977	2
629	978	2
630	979	2
631	980	2
632	981	2
633	982	2
634	983	2
635	984	2
636	985	2
637	986	2
638	987	2
639	988	2
640	989	2
641	990	2
642	991	2
643	992	2
644	993	2
645	994	2
646	995	2
647	996	2
648	997	2
649	998	2
650	999	2
651	1000	2
652	1001	2
653	1002	2
654	1003	2
655	1004	2
656	1005	2
657	1006	2
658	1007	2
659	1008	2
660	1009	2
661	1010	2
662	1011	2
663	1012	2
664	1013	2
665	1014	2
666	1015	2
667	1016	2
668	1017	2
669	1018	2
670	1019	2
671	1020	2
672	1021	2
673	1022	2
674	1023	2
675	1024	2
676	1025	2
677	1026	2
678	1027	2
679	1028	2
680	1029	2
681	1030	2
682	1031	2
683	1032	2
684	1033	2
685	1034	2
686	1035	2
687	1036	2
688	1037	2
689	1038	2
690	1039	2
691	1040	2
692	1041	2
693	1042	2
694	1043	2
695	1044	2
