Name	Description	Company	Type no	no of channels
Beckman UV-5240	Beckman UV-5240	Beckman	5240	826
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	400	2		
2	401	2		
3	402	2		
4	403	2		
5	404	2		
6	405	2		
7	406	2		
8	407	2		
9	408	2		
10	409	2		
11	410	2		
12	411	2		
13	412	2		
14	413	2
15	414	2
16	415	2
17	416	2
18	417	2
19	418	2
20	419	2
21	420	2
22	421	2
23	422	2
24	423	2
25	424	2
26	425	2
27	426	2
28	427	2
29	428	2
30	429	2
31	430	2
32	431	2
33	432	2
34	433	2
35	434	2
36	435	2
37	436	2
38	437	2
39	438	2
40	439	2
41	440	2
42	441	2
43	442	2
44	443	2
45	444	2
46	445	2
47	446	2
48	447	2
49	448	2
50	449	2
51	450	2
52	451	2
53	452	2
54	453	2
55	454	2
56	455	2
57	456	2
58	457	2
59	458	2
60	459	2
61	460	2
62	461	2
63	462	2
64	463	2
65	464	2
66	465	2
67	466	2
68	467	2
69	468	2
70	469	2
71	470	2
72	471	2
73	472	2
74	473	2
75	474	2
76	475	2
77	476	2
78	477	2
79	478	2
80	479	2
81	480	2
82	481	2
83	482	2
84	483	2
85	484	2
86	485	2
87	486	2
88	487	2
89	488	2
90	489	2
91	490	2
92	491	2
93	492	2
94	493	2
95	494	2
96	495	2
97	496	2
98	497	2
99	498	2
100	499	2
101	500	2
102	501	2
103	502	2
104	503	2
105	504	2
106	505	2
107	506	2
108	507	2
109	508	2
110	509	2
111	510	2
112	511	2
113	512	2
114	513	2
115	514	2
116	515	2
117	516	2
118	517	2
119	518	2
120	519	2
121	520	2
122	521	2
123	522	2
124	523	2
125	524	2
126	525	2
127	526	2
128	527	2
129	528	2
130	529	2
131	530	2
132	531	2
133	532	2
134	533	2
135	534	2
136	535	2
137	536	2
138	537	2
139	538	2
140	539	2
141	540	2
142	541	2
143	542	2
144	543	2
145	544	2
146	545	2
147	546	2
148	547	2
149	548	2
150	549	2
151	550	2
152	551	2
153	552	2
154	553	2
155	554	2
156	555	2
157	556	2
158	557	2
159	558	2
160	559	2
161	560	2
162	561	2
163	562	2
164	563	2
165	564	2
166	565	2
167	566	2
168	567	2
169	568	2
170	569	2
171	570	2
172	571	2
173	572	2
174	573	2
175	574	2
176	575	2
177	576	2
178	577	2
179	578	2
180	579	2
181	580	2
182	581	2
183	582	2
184	583	2
185	584	2
186	585	2
187	586	2
188	587	2
189	588	2
190	589	2
191	590	2
192	591	2
193	592	2
194	593	2
195	594	2
196	595	2
197	596	2
198	597	2
199	598	2
200	599	2
