Name	Description	Company	Type no	no of channels
GER 3700	GER 3700	GER	3700	647
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	298.605	2		
2	300.245	2		
3	301.89	2		
4	303.525	2		
5	305.155	2		
6	306.78	2		
7	308.405	2		
8	310.02	2		
9	311.635	2		
10	313.245	2		
11	314.85	2		
12	316.455	2		
13	318.05	2		
14	319.645	2
15	321.235	2
16	322.82	2
17	324.4	2
18	325.98	2
19	327.555	2
20	329.125	2
21	330.695	2
22	332.265	2
23	333.825	2
24	335.38	2
25	336.94	2
26	338.495	2
27	340.045	2
28	341.595	2
29	343.135	2
30	344.68	2
31	346.225	2
32	347.76	2
33	349.295	2
34	350.83	2
35	352.36	2
36	353.89	2
37	355.42	2
38	356.94	2
39	358.465	2
40	359.985	2
41	361.5	2
42	363.02	2
43	364.535	2
44	366.045	2
45	367.56	2
46	369.07	2
47	370.58	2
48	372.09	2
49	373.59	2
50	375.1	2
51	376.6	2
52	378.1	2
53	379.6	2
54	381.1	2
55	382.6	2
56	384.1	2
57	385.59	2
58	387.09	2
59	388.58	2
60	390.075	2
61	391.57	2
62	393.06	2
63	394.555	2
64	396.04	2
65	397.53	2
66	399.02	2
67	400.51	2
68	401.99	2
69	403.48	2
70	404.965	2
71	406.455	2
72	407.935	2
73	409.425	2
74	410.905	2
75	412.39	2
76	413.87	2
77	415.36	2
78	416.84	2
79	418.32	2
80	419.805	2
81	421.285	2
82	422.765	2
83	424.25	2
84	425.735	2
85	427.215	2
86	428.695	2
87	430.18	2
88	431.66	2
89	433.14	2
90	434.62	2
91	436.1	2
92	437.585	2
93	439.065	2
94	440.545	2
95	442.03	2
96	443.51	2
97	444.995	2
98	446.475	2
99	447.96	2
100	449.44	2
101	450.925	2
102	452.405	2
103	453.89	2
104	455.375	2
105	456.86	2
106	458.34	2
107	459.83	2
108	461.31	2
109	462.8	2
110	464.28	2
111	465.77	2
112	467.255	2
113	468.745	2
114	470.225	2
115	471.715	2
116	473.2	2
117	474.69	2
118	476.18	2
119	477.67	2
120	479.155	2
121	480.65	2
122	482.14	2
123	483.63	2
124	485.12	2
125	486.615	2
126	488.105	2
127	489.6	2
128	491.09	2
129	492.585	2
130	494.075	2
131	495.575	2
132	497.07	2
133	498.565	2
134	500.065	2
135	501.56	2
136	503.055	2
137	504.555	2
138	506.055	2
139	507.55	2
140	509.05	2
141	510.55	2
142	512.05	2
143	513.55	2
144	515.055	2
145	516.555	2
146	518.06	2
147	519.56	2
148	521.065	2
149	522.57	2
150	524.075	2
151	525.58	2
152	527.08	2
153	528.59	2
154	530.095	2
155	531.605	2
156	533.115	2
157	534.62	2
158	536.13	2
159	537.635	2
160	539.15	2
161	540.66	2
162	542.17	2
163	543.68	2
164	545.195	2
165	546.705	2
166	548.22	2
167	549.735	2
168	551.245	2
169	552.76	2
170	554.275	2
171	555.79	2
172	557.305	2
173	558.825	2
174	560.34	2
175	561.855	2
176	563.375	2
177	564.89	2
178	566.41	2
179	567.93	2
180	569.45	2
181	570.965	2
182	572.485	2
183	574.01	2
184	575.53	2
185	577.05	2
186	578.57	2
187	580.095	2
188	581.615	2
189	583.14	2
190	584.665	2
191	586.185	2
192	587.71	2
193	589.235	2
194	590.765	2
195	592.285	2
196	593.81	2
197	595.335	2
198	596.865	2
199	598.39	2
200	599.915	2
201	601.445	2
202	602.97	2
203	604.5	2
204	606.025	2
205	607.555	2
206	609.085	2
207	610.61	2
208	612.14	2
209	613.67	2
210	615.205	2
211	616.73	2
212	618.26	2
213	619.79	2
214	621.325	2
215	622.855	2
216	624.385	2
217	625.915	2
218	627.45	2
219	628.98	2
220	630.51	2
221	632.045	2
222	633.575	2
223	635.105	2
224	636.645	2
225	638.175	2
226	639.71	2
227	641.24	2
228	642.78	2
229	644.31	2
230	645.84	2
231	647.38	2
232	648.91	2
233	650.445	2
234	651.98	2
235	653.515	2
236	655.05	2
237	656.585	2
238	658.12	2
239	659.655	2
240	661.19	2
241	662.725	2
242	664.26	2
243	665.795	2
244	667.33	2
245	668.87	2
246	670.4	2
247	671.94	2
248	673.475	2
249	675.01	2
250	676.55	2
251	678.085	2
252	679.62	2
253	681.155	2
254	682.695	2
255	684.23	2
256	685.77	2
257	687.3	2
258	688.84	2
259	690.375	2
260	691.915	2
261	693.45	2
262	694.99	2
263	696.525	2
264	698.06	2
265	699.6	2
266	701.135	2
267	702.675	2
268	704.21	2
269	705.75	2
270	707.285	2
271	708.825	2
272	710.36	2
273	711.9	2
274	713.435	2
275	714.975	2
276	716.515	2
277	718.05	2
278	719.59	2
279	721.125	2
280	722.665	2
281	724.2	2
282	725.74	2
283	727.275	2
284	728.815	2
285	730.35	2
286	731.89	2
287	733.43	2
288	734.965	2
289	736.505	2
290	738.04	2
291	739.58	2
292	741.115	2
293	742.66	2
294	744.2	2
295	745.735	2
296	747.275	2
297	748.81	2
298	750.35	2
299	751.89	2
300	753.425	2
301	754.97	2
302	756.505	2
303	758.045	2
304	759.585	2
305	761.12	2
306	762.66	2
307	764.205	2
308	765.745	2
309	767.28	2
310	768.82	2
311	770.365	2
312	771.9	2
313	773.44	2
314	774.98	2
315	776.52	2
316	778.065	2
317	779.605	2
318	781.14	2
319	782.685	2
320	784.225	2
321	785.765	2
322	787.31	2
323	788.85	2
324	790.39	2
325	791.935	2
326	793.475	2
327	795.015	2
328	796.56	2
329	798.1	2
330	799.64	2
331	801.19	2
332	802.73	2
333	804.275	2
334	805.815	2
335	807.365	2
336	808.905	2
337	810.45	2
338	811.995	2
339	813.54	2
340	815.08	2
341	816.63	2
342	818.175	2
343	819.72	2
344	821.27	2
345	822.815	2
346	824.36	2
347	825.905	2
348	827.455	2
349	829	2
350	830.55	2
351	832.1	2
352	833.65	2
353	835.2	2
354	836.745	2
355	838.295	2
356	839.845	2
357	841.395	2
358	842.945	2
359	844.495	2
360	846.045	2
361	847.6	2
362	849.15	2
363	850.705	2
364	852.26	2
365	853.815	2
366	855.365	2
367	856.92	2
368	858.475	2
369	860.03	2
370	861.585	2
371	863.145	2
372	864.7	2
373	866.26	2
374	867.815	2
375	869.375	2
376	870.93	2
377	872.49	2
378	874.045	2
