Name	Description	Company	Type no	no of channels
OOHR_NIR	Ocean Optics High Resolution NIR	OceanOptics	4	4400
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	717	0.5		
2	717.02	0.5		
3	717.04	0.5		
4	717.06	0.5		
5	717.08	0.5		
6	717.1	0.5		
7	717.12	0.5		
8	717.14	0.5		
9	717.16	0.5		
10	717.18	0.5		
11	717.2	0.5		
12	717.22	0.5		
13	717.24	0.5		
14	717.26	0.5
15	717.28	0.5
16	717.3	0.5
17	717.32	0.5
18	717.34	0.5
19	717.36	0.5
20	717.38	0.5
21	717.4	0.5
22	717.42	0.5
23	717.44	0.5
24	717.46	0.5
25	717.48	0.5
26	717.5	0.5
27	717.52	0.5
28	717.54	0.5
29	717.56	0.5
30	717.58	0.5
31	717.6	0.5
32	717.62	0.5
33	717.64	0.5
34	717.66	0.5
35	717.68	0.5
36	717.7	0.5
37	717.72	0.5
38	717.74	0.5
39	717.76	0.5
40	717.78	0.5
41	717.8	0.5
42	717.82	0.5
43	717.84	0.5
44	717.86	0.5
45	717.88	0.5
46	717.9	0.5
47	717.92	0.5
48	717.94	0.5
49	717.96	0.5
50	717.98	0.5
51	718	0.5
52	718.02	0.5
53	718.04	0.5
54	718.06	0.5
55	718.08	0.5
56	718.1	0.5
57	718.12	0.5
58	718.14	0.5
59	718.16	0.5
60	718.18	0.5
61	718.2	0.5
62	718.22	0.5
63	718.24	0.5
64	718.26	0.5
65	718.28	0.5
66	718.3	0.5
67	718.32	0.5
68	718.34	0.5
69	718.36	0.5
70	718.38	0.5
71	718.4	0.5
72	718.42	0.5
73	718.44	0.5
74	718.46	0.5
75	718.48	0.5
76	718.5	0.5
77	718.52	0.5
78	718.54	0.5
79	718.56	0.5
80	718.58	0.5
81	718.6	0.5
82	718.62	0.5
83	718.64	0.5
84	718.66	0.5
85	718.68	0.5
86	718.7	0.5
87	718.72	0.5
88	718.74	0.5
89	718.76	0.5
90	718.78	0.5
91	718.8	0.5
92	718.82	0.5
93	718.84	0.5
94	718.86	0.5
95	718.88	0.5
96	718.9	0.5
97	718.92	0.5
98	718.94	0.5
99	718.96	0.5
100	718.98	0.5
101	719	0.5
102	719.02	0.5
103	719.04	0.5
104	719.06	0.5
105	719.08	0.5
106	719.1	0.5
107	719.12	0.5
108	719.14	0.5
109	719.16	0.5
110	719.18	0.5
111	719.2	0.5
112	719.22	0.5
113	719.24	0.5
114	719.26	0.5
115	719.28	0.5
116	719.3	0.5
117	719.32	0.5
118	719.34	0.5
119	719.36	0.5
120	719.38	0.5
121	719.4	0.5
122	719.42	0.5
123	719.44	0.5
124	719.46	0.5
125	719.48	0.5
126	719.5	0.5
127	719.52	0.5
128	719.54	0.5
129	719.56	0.5
130	719.58	0.5
131	719.6	0.5
132	719.62	0.5
133	719.64	0.5
134	719.66	0.5
135	719.68	0.5
136	719.7	0.5
137	719.72	0.5
138	719.74	0.5
139	719.76	0.5
140	719.78	0.5
141	719.8	0.5
142	719.82	0.5
143	719.84	0.5
144	719.86	0.5
145	719.88	0.5
146	719.9	0.5
147	719.92	0.5
148	719.94	0.5
149	719.96	0.5
150	719.98	0.5
151	720	0.5
152	720.02	0.5
153	720.04	0.5
154	720.06	0.5
155	720.08	0.5
156	720.1	0.5
157	720.12	0.5
158	720.14	0.5
159	720.16	0.5
160	720.18	0.5
161	720.2	0.5
162	720.22	0.5
163	720.24	0.5
164	720.26	0.5
165	720.28	0.5
166	720.3	0.5
167	720.32	0.5
168	720.34	0.5
169	720.36	0.5
170	720.38	0.5
171	720.4	0.5
172	720.42	0.5
173	720.44	0.5
174	720.46	0.5
175	720.48	0.5
176	720.5	0.5
177	720.52	0.5
178	720.54	0.5
179	720.56	0.5
180	720.58	0.5
181	720.6	0.5
182	720.62	0.5
183	720.64	0.5
184	720.66	0.5
185	720.68	0.5
186	720.7	0.5
187	720.72	0.5
188	720.74	0.5
189	720.76	0.5
190	720.78	0.5
191	720.8	0.5
192	720.82	0.5
193	720.84	0.5
194	720.86	0.5
195	720.88	0.5
196	720.9	0.5
197	720.92	0.5
198	720.94	0.5
199	720.96	0.5
200	720.98	0.5
201	721	0.5
202	721.02	0.5
203	721.04	0.5
204	721.06	0.5
205	721.08	0.5
206	721.1	0.5
207	721.12	0.5
208	721.14	0.5
209	721.16	0.5
210	721.18	0.5
211	721.2	0.5
212	721.22	0.5
213	721.24	0.5
214	721.26	0.5
215	721.28	0.5
216	721.3	0.5
217	721.32	0.5
218	721.34	0.5
219	721.36	0.5
220	721.38	0.5
221	721.4	0.5
222	721.42	0.5
223	721.44	0.5
224	721.46	0.5
225	721.48	0.5
226	721.5	0.5
227	721.52	0.5
228	721.54	0.5
229	721.56	0.5
230	721.58	0.5
231	721.6	0.5
232	721.62	0.5
233	721.64	0.5
234	721.66	0.5
235	721.68	0.5
236	721.7	0.5
237	721.72	0.5
238	721.74	0.5
239	721.76	0.5
240	721.78	0.5
241	721.8	0.5
242	721.82	0.5
243	721.84	0.5
244	721.86	0.5
245	721.88	0.5
246	721.9	0.5
247	721.92	0.5
248	721.94	0.5
249	721.96	0.5
250	721.98	0.5
251	722	0.5
252	722.02	0.5
253	722.04	0.5
254	722.06	0.5
255	722.08	0.5
256	722.1	0.5
257	722.12	0.5
258	722.14	0.5
259	722.16	0.5
260	722.18	0.5
261	722.2	0.5
262	722.22	0.5
263	722.24	0.5
264	722.26	0.5
265	722.28	0.5
266	722.3	0.5
267	722.32	0.5
268	722.34	0.5
269	722.36	0.5
270	722.38	0.5
271	722.4	0.5
272	722.42	0.5
273	722.44	0.5
274	722.46	0.5
275	722.48	0.5
276	722.5	0.5
277	722.52	0.5
278	722.54	0.5
279	722.56	0.5
280	722.58	0.5
281	722.6	0.5
282	722.62	0.5
283	722.64	0.5
284	722.66	0.5
285	722.68	0.5
286	722.7	0.5
287	722.72	0.5
288	722.74	0.5
289	722.76	0.5
290	722.78	0.5
291	722.8	0.5
292	722.82	0.5
293	722.84	0.5
294	722.86	0.5
295	722.88	0.5
296	722.9	0.5
297	722.92	0.5
298	722.94	0.5
299	722.96	0.5
300	722.98	0.5
301	723	0.5
302	723.02	0.5
303	723.04	0.5
304	723.06	0.5
305	723.08	0.5
306	723.1	0.5
307	723.12	0.5
308	723.14	0.5
309	723.16	0.5
310	723.18	0.5
311	723.2	0.5
312	723.22	0.5
313	723.24	0.5
314	723.26	0.5
315	723.28	0.5
316	723.3	0.5
317	723.32	0.5
318	723.34	0.5
319	723.36	0.5
320	723.38	0.5
321	723.4	0.5
322	723.42	0.5
323	723.44	0.5
324	723.46	0.5
325	723.48	0.5
326	723.5	0.5
327	723.52	0.5
328	723.54	0.5
329	723.56	0.5
330	723.58	0.5
331	723.6	0.5
332	723.62	0.5
333	723.64	0.5
334	723.66	0.5
335	723.68	0.5
336	723.7	0.5
337	723.72	0.5
338	723.74	0.5
339	723.76	0.5
340	723.78	0.5
341	723.8	0.5
342	723.82	0.5
343	723.84	0.5
344	723.86	0.5
345	723.88	0.5
346	723.9	0.5
347	723.92	0.5
348	723.94	0.5
349	723.96	0.5
350	723.98	0.5
351	724	0.5
352	724.02	0.5
353	724.04	0.5
354	724.06	0.5
355	724.08	0.5
356	724.1	0.5
357	724.12	0.5
358	724.14	0.5
359	724.16	0.5
360	724.18	0.5
361	724.2	0.5
362	724.22	0.5
363	724.24	0.5
364	724.26	0.5
365	724.28	0.5
366	724.3	0.5
367	724.32	0.5
368	724.34	0.5
369	724.36	0.5
370	724.38	0.5
371	724.4	0.5
372	724.42	0.5
373	724.44	0.5
374	724.46	0.5
375	724.48	0.5
376	724.5	0.5
377	724.52	0.5
378	724.54	0.5
379	724.56	0.5
380	724.58	0.5
381	724.6	0.5
382	724.62	0.5
383	724.64	0.5
384	724.66	0.5
385	724.68	0.5
386	724.7	0.5
387	724.72	0.5
388	724.74	0.5
389	724.76	0.5
390	724.78	0.5
391	724.8	0.5
392	724.82	0.5
393	724.84	0.5
394	724.86	0.5
395	724.88	0.5
396	724.9	0.5
397	724.92	0.5
398	724.94	0.5
399	724.96	0.5
400	724.98	0.5
401	725	0.5
402	725.02	0.5
403	725.04	0.5
404	725.06	0.5
405	725.08	0.5
406	725.1	0.5
407	725.12	0.5
408	725.14	0.5
409	725.16	0.5
410	725.18	0.5
411	725.2	0.5
412	725.22	0.5
413	725.24	0.5
414	725.26	0.5
415	725.28	0.5
416	725.3	0.5
417	725.32	0.5
418	725.34	0.5
419	725.36	0.5
420	725.38	0.5
421	725.4	0.5
422	725.42	0.5
423	725.44	0.5
424	725.46	0.5
425	725.48	0.5
426	725.5	0.5
427	725.52	0.5
428	725.54	0.5
429	725.56	0.5
430	725.58	0.5
431	725.6	0.5
432	725.62	0.5
433	725.64	0.5
434	725.66	0.5
435	725.68	0.5
436	725.7	0.5
437	725.72	0.5
438	725.74	0.5
439	725.76	0.5
440	725.78	0.5
441	725.8	0.5
442	725.82	0.5
443	725.84	0.5
444	725.86	0.5
445	725.88	0.5
446	725.9	0.5
447	725.92	0.5
448	725.94	0.5
449	725.96	0.5
450	725.98	0.5
451	726	0.5
452	726.02	0.5
453	726.04	0.5
454	726.06	0.5
455	726.08	0.5
456	726.1	0.5
457	726.12	0.5
458	726.14	0.5
459	726.16	0.5
460	726.18	0.5
461	726.2	0.5
462	726.22	0.5
463	726.24	0.5
464	726.26	0.5
465	726.28	0.5
466	726.3	0.5
467	726.32	0.5
468	726.34	0.5
469	726.36	0.5
470	726.38	0.5
471	726.4	0.5
472	726.42	0.5
473	726.44	0.5
474	726.46	0.5
475	726.48	0.5
476	726.5	0.5
477	726.52	0.5
478	726.54	0.5
479	726.56	0.5
480	726.58	0.5
481	726.6	0.5
482	726.62	0.5
483	726.64	0.5
484	726.66	0.5
485	726.68	0.5
486	726.7	0.5
487	726.72	0.5
488	726.74	0.5
489	726.76	0.5
490	726.78	0.5
491	726.8	0.5
492	726.82	0.5
493	726.84	0.5
494	726.86	0.5
495	726.88	0.5
496	726.9	0.5
497	726.92	0.5
498	726.94	0.5
499	726.96	0.5
500	726.98	0.5
501	727	0.5
502	727.02	0.5
503	727.04	0.5
504	727.06	0.5
505	727.08	0.5
506	727.1	0.5
507	727.12	0.5
508	727.14	0.5
509	727.16	0.5
510	727.18	0.5
511	727.2	0.5
512	727.22	0.5
513	727.24	0.5
514	727.26	0.5
515	727.28	0.5
516	727.3	0.5
517	727.32	0.5
518	727.34	0.5
519	727.36	0.5
520	727.38	0.5
521	727.4	0.5
522	727.42	0.5
523	727.44	0.5
524	727.46	0.5
