Name	Description	Company	Type no	no of channels
OOHR_VNIR	Ocean Optics High Resolution VNIR	OceanOptics	4	3845
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	198	0.5		
2	198.24	0.5		
3	198.48	0.5		
4	198.72	0.5		
5	198.96	0.5		
6	199.2	0.5		
7	199.44	0.5		
8	199.68	0.5		
9	199.92	0.5		
10	200.16	0.5		
11	200.4	0.5		
12	200.64	0.5		
13	200.88	0.5		
14	201.12	0.5
15	201.36	0.5
16	201.6	0.5
17	201.84	0.5
18	202.08	0.5
19	202.32	0.5
20	202.56	0.5
21	202.8	0.5
22	203.04	0.5
23	203.28	0.5
24	203.52	0.5
25	203.76	0.5
26	204	0.5
27	204.24	0.5
28	204.48	0.5
29	204.72	0.5
30	204.96	0.5
31	205.2	0.5
32	205.44	0.5
33	205.68	0.5
34	205.92	0.5
35	206.16	0.5
36	206.4	0.5
37	206.64	0.5
38	206.88	0.5
39	207.12	0.5
40	207.36	0.5
41	207.6	0.5
42	207.84	0.5
43	208.08	0.5
44	208.32	0.5
45	208.56	0.5
46	208.8	0.5
47	209.04	0.5
48	209.28	0.5
49	209.52	0.5
50	209.76	0.5
51	210	0.5
52	210.24	0.5
53	210.48	0.5
54	210.72	0.5
55	210.96	0.5
56	211.2	0.5
57	211.44	0.5
58	211.68	0.5
59	211.92	0.5
60	212.16	0.5
61	212.4	0.5
62	212.64	0.5
63	212.88	0.5
64	213.12	0.5
65	213.36	0.5
66	213.6	0.5
67	213.84	0.5
68	214.08	0.5
69	214.32	0.5
70	214.56	0.5
71	214.8	0.5
72	215.04	0.5
73	215.28	0.5
74	215.52	0.5
75	215.76	0.5
76	216	0.5
77	216.24	0.5
78	216.48	0.5
79	216.72	0.5
80	216.96	0.5
81	217.2	0.5
82	217.44	0.5
83	217.68	0.5
84	217.92	0.5
85	218.16	0.5
86	218.4	0.5
87	218.64	0.5
88	218.88	0.5
89	219.12	0.5
90	219.36	0.5
91	219.6	0.5
92	219.84	0.5
93	220.08	0.5
94	220.32	0.5
95	220.56	0.5
96	220.8	0.5
97	221.04	0.5
98	221.28	0.5
99	221.52	0.5
100	221.76	0.5
101	222	0.5
102	222.24	0.5
103	222.48	0.5
104	222.72	0.5
105	222.96	0.5
106	223.2	0.5
107	223.44	0.5
108	223.68	0.5
109	223.92	0.5
110	224.16	0.5
111	224.4	0.5
112	224.64	0.5
113	224.88	0.5
114	225.12	0.5
115	225.36	0.5
116	225.6	0.5
117	225.84	0.5
118	226.08	0.5
119	226.32	0.5
120	226.56	0.5
121	226.8	0.5
122	227.04	0.5
123	227.28	0.5
124	227.52	0.5
125	227.76	0.5
126	228	0.5
127	228.24	0.5
128	228.48	0.5
129	228.72	0.5
130	228.96	0.5
131	229.2	0.5
132	229.44	0.5
133	229.68	0.5
134	229.92	0.5
135	230.16	0.5
136	230.4	0.5
137	230.64	0.5
138	230.88	0.5
139	231.12	0.5
140	231.36	0.5
141	231.6	0.5
142	231.84	0.5
143	232.08	0.5
144	232.32	0.5
145	232.56	0.5
146	232.8	0.5
147	233.04	0.5
148	233.28	0.5
149	233.52	0.5
150	233.76	0.5
151	234	0.5
152	234.24	0.5
153	234.48	0.5
154	234.72	0.5
155	234.96	0.5
156	235.2	0.5
157	235.44	0.5
158	235.68	0.5
159	235.92	0.5
160	236.16	0.5
161	236.4	0.5
162	236.64	0.5
163	236.88	0.5
164	237.12	0.5
165	237.36	0.5
166	237.6	0.5
167	237.84	0.5
168	238.08	0.5
169	238.32	0.5
170	238.56	0.5
171	238.8	0.5
172	239.04	0.5
173	239.28	0.5
174	239.52	0.5
175	239.76	0.5
176	240	0.5
177	240.24	0.5
178	240.48	0.5
179	240.72	0.5
180	240.96	0.5
181	241.2	0.5
182	241.44	0.5
183	241.68	0.5
184	241.92	0.5
185	242.16	0.5
186	242.4	0.5
187	242.64	0.5
188	242.88	0.5
189	243.12	0.5
190	243.36	0.5
191	243.6	0.5
192	243.84	0.5
193	244.08	0.5
194	244.32	0.5
195	244.56	0.5
196	244.8	0.5
197	245.04	0.5
198	245.28	0.5
199	245.52	0.5
200	245.76	0.5
201	246	0.5
202	246.24	0.5
203	246.48	0.5
204	246.72	0.5
205	246.96	0.5
206	247.2	0.5
207	247.44	0.5
208	247.68	0.5
209	247.92	0.5
210	248.16	0.5
211	248.4	0.5
212	248.64	0.5
213	248.88	0.5
214	249.12	0.5
215	249.36	0.5
216	249.6	0.5
217	249.84	0.5
218	250.08	0.5
219	250.32	0.5
220	250.56	0.5
221	250.8	0.5
222	251.04	0.5
223	251.28	0.5
224	251.52	0.5
225	251.76	0.5
226	252	0.5
227	252.24	0.5
228	252.48	0.5
229	252.72	0.5
230	252.96	0.5
231	253.2	0.5
232	253.44	0.5
233	253.68	0.5
234	253.92	0.5
235	254.16	0.5
236	254.4	0.5
237	254.64	0.5
238	254.88	0.5
239	255.12	0.5
240	255.36	0.5
241	255.6	0.5
242	255.84	0.5
243	256.08	0.5
244	256.32	0.5
245	256.56	0.5
246	256.8	0.5
247	257.04	0.5
248	257.28	0.5
249	257.52	0.5
250	257.76	0.5
251	258	0.5
252	258.24	0.5
253	258.48	0.5
254	258.72	0.5
255	258.96	0.5
256	259.2	0.5
257	259.44	0.5
258	259.68	0.5
259	259.92	0.5
260	260.16	0.5
261	260.4	0.5
262	260.64	0.5
263	260.88	0.5
264	261.12	0.5
265	261.36	0.5
266	261.6	0.5
267	261.84	0.5
268	262.08	0.5
269	262.32	0.5
270	262.56	0.5
271	262.8	0.5
272	263.04	0.5
273	263.28	0.5
274	263.52	0.5
275	263.76	0.5
276	264	0.5
277	264.24	0.5
278	264.48	0.5
279	264.72	0.5
280	264.96	0.5
281	265.2	0.5
282	265.44	0.5
283	265.68	0.5
284	265.92	0.5
285	266.16	0.5
286	266.4	0.5
287	266.64	0.5
288	266.88	0.5
289	267.12	0.5
290	267.36	0.5
291	267.6	0.5
292	267.84	0.5
293	268.08	0.5
294	268.32	0.5
295	268.56	0.5
296	268.8	0.5
297	269.04	0.5
298	269.28	0.5
299	269.52	0.5
300	269.76	0.5
301	270	0.5
302	270.24	0.5
303	270.48	0.5
304	270.72	0.5
305	270.96	0.5
306	271.2	0.5
307	271.44	0.5
308	271.68	0.5
309	271.92	0.5
310	272.16	0.5
311	272.4	0.5
312	272.64	0.5
313	272.88	0.5
314	273.12	0.5
315	273.36	0.5
316	273.6	0.5
317	273.84	0.5
318	274.08	0.5
319	274.32	0.5
320	274.56	0.5
321	274.8	0.5
322	275.04	0.5
323	275.28	0.5
324	275.52	0.5
325	275.76	0.5
326	276	0.5
327	276.24	0.5
328	276.48	0.5
329	276.72	0.5
330	276.96	0.5
331	277.2	0.5
332	277.44	0.5
333	277.68	0.5
334	277.92	0.5
335	278.16	0.5
336	278.4	0.5
337	278.64	0.5
338	278.88	0.5
339	279.12	0.5
340	279.36	0.5
341	279.6	0.5
342	279.84	0.5
343	280.08	0.5
344	280.32	0.5
345	280.56	0.5
346	280.8	0.5
347	281.04	0.5
348	281.28	0.5
349	281.52	0.5
350	281.76	0.5
351	282	0.5
352	282.24	0.5
353	282.48	0.5
354	282.72	0.5
355	282.96	0.5
356	283.2	0.5
357	283.44	0.5
358	283.68	0.5
359	283.92	0.5
360	284.16	0.5
361	284.4	0.5
362	284.64	0.5
363	284.88	0.5
364	285.12	0.5
365	285.36	0.5
366	285.6	0.5
367	285.84	0.5
368	286.08	0.5
369	286.32	0.5
370	286.56	0.5
371	286.8	0.5
372	287.04	0.5
373	287.28	0.5
374	287.52	0.5
375	287.76	0.5
376	288	0.5
