Name	Description	Company	Type no	no of channels
PEL-19	Perkin-Elmer Lambda 19	Perkin-Elmer	19	2251
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	250	2		
2	251	2		
3	252	2		
4	253	2		
5	254	2		
6	255	2		
7	256	2		
8	257	2		
9	258	2		
10	259	2		
11	260	2		
12	261	2		
13	262	2		
14	263	2
15	264	2
16	265	2
17	266	2
18	267	2
19	268	2
20	269	2
21	270	2
22	271	2
23	272	2
24	273	2
25	274	2
26	275	2
27	276	2
28	277	2
29	278	2
30	279	2
31	280	2
32	281	2
33	282	2
34	283	2
35	284	2
36	285	2
37	286	2
38	287	2
39	288	2
40	289	2
41	290	2
42	291	2
43	292	2
44	293	2
45	294	2
46	295	2
47	296	2
48	297	2
49	298	2
50	299	2
51	300	2
52	301	2
53	302	2
54	303	2
55	304	2
56	305	2
57	306	2
58	307	2
59	308	2
60	309	2
61	310	2
62	311	2
63	312	2
64	313	2
65	314	2
66	315	2
67	316	2
68	317	2
69	318	2
70	319	2
71	320	2
72	321	2
73	322	2
74	323	2
75	324	2
76	325	2
77	326	2
78	327	2
79	328	2
80	329	2
81	330	2
82	331	2
83	332	2
84	333	2
85	334	2
86	335	2
87	336	2
88	337	2
89	338	2
90	339	2
91	340	2
92	341	2
93	342	2
94	343	2
95	344	2
96	345	2
97	346	2
98	347	2
99	348	2
100	349	2
101	350	2
102	351	2
103	352	2
104	353	2
105	354	2
106	355	2
107	356	2
108	357	2
109	358	2
110	359	2
111	360	2
112	361	2
113	362	2
114	363	2
115	364	2
116	365	2
117	366	2
118	367	2
119	368	2
120	369	2
121	370	2
122	371	2
123	372	2
124	373	2
125	374	2
126	375	2
127	376	2
128	377	2
129	378	2
130	379	2
131	380	2
132	381	2
133	382	2
134	383	2
135	384	2
136	385	2
137	386	2
138	387	2
139	388	2
140	389	2
141	390	2
142	391	2
143	392	2
144	393	2
145	394	2
146	395	2
147	396	2
148	397	2
149	398	2
150	399	2
151	400	2
152	401	2
153	402	2
154	403	2
155	404	2
156	405	2
157	406	2
158	407	2
159	408	2
160	409	2
161	410	2
162	411	2
163	412	2
164	413	2
165	414	2
166	415	2
167	416	2
168	417	2
169	418	2
170	419	2
171	420	2
172	421	2
173	422	2
174	423	2
175	424	2
176	425	2
177	426	2
178	427	2
179	428	2
180	429	2
181	430	2
182	431	2
183	432	2
184	433	2
185	434	2
186	435	2
187	436	2
188	437	2
189	438	2
190	439	2
191	440	2
192	441	2
193	442	2
194	443	2
195	444	2
196	445	2
197	446	2
198	447	2
199	448	2
200	449	2
201	450	2
202	451	2
203	452	2
204	453	2
205	454	2
206	455	2
207	456	2
208	457	2
209	458	2
210	459	2
211	460	2
212	461	2
213	462	2
214	463	2
215	464	2
216	465	2
217	466	2
