Name	Description	Company	Type no	no of channels
SVC HR-1024	Spectra Vista HR-1024	Spectra Vista	1024	1024
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	344.2	3.5		
2	345.8	3.5		
3	347.3	3.5		
4	348.9	3.5		
5	350.4	3.5		
6	352	3.5		
7	353.5	3.5		
8	355.1	3.5		
9	356.6	3.5		
10	358.2	3.5		
11	359.7	3.5		
12	361.3	3.5		
13	362.8	3.5		
14	364.4	3.5
15	365.9	3.5
16	367.5	3.5
17	369	3.5
18	370.6	3.5
19	372.1	3.5
20	373.7	3.5
21	375.2	3.5
22	376.8	3.5
23	378.3	3.5
24	379.9	3.5
25	381.4	3.5
26	382.9	3.5
27	384.5	3.5
28	386	3.5
29	387.6	3.5
30	389.1	3.5
31	390.7	3.5
32	392.2	3.5
33	393.8	3.5
34	395.3	3.5
35	396.8	3.5
36	398.4	3.5
37	399.9	3.5
38	401.4	3.5
39	403	3.5
40	404.5	3.5
41	406.1	3.5
42	407.6	3.5
43	409.1	3.5
44	410.7	3.5
45	412.2	3.5
46	413.7	3.5
47	415.3	3.5
48	416.8	3.5
49	418.3	3.5
50	419.9	3.5
51	421.4	3.5
52	422.9	3.5
53	424.4	3.5
54	426	3.5
55	427.5	3.5
56	429	3.5
57	430.6	3.5
58	432.1	3.5
59	433.6	3.5
60	435.1	3.5
61	436.6	3.5
62	438.2	3.5
63	439.7	3.5
64	441.2	3.5
65	442.7	3.5
66	444.3	3.5
67	445.8	3.5
68	447.3	3.5
69	448.8	3.5
70	450.3	3.5
71	451.8	3.5
72	453.4	3.5
73	454.9	3.5
74	456.4	3.5
75	457.9	3.5
76	459.4	3.5
77	460.9	3.5
78	462.4	3.5
79	463.9	3.5
80	465.4	3.5
81	466.9	3.5
82	468.5	3.5
83	470	3.5
84	471.5	3.5
85	473	3.5
86	474.5	3.5
87	476	3.5
88	477.5	3.5
89	479	3.5
90	480.5	3.5
91	482	3.5
92	483.5	3.5
93	485	3.5
94	486.5	3.5
95	488	3.5
96	489.5	3.5
97	491	3.5
98	492.4	3.5
99	493.9	3.5
100	495.4	3.5
101	496.9	3.5
102	498.4	3.5
103	499.9	3.5
104	501.4	3.5
105	502.9	3.5
106	504.4	3.5
107	505.9	3.5
108	507.3	3.5
109	508.8	3.5
110	510.3	3.5
111	511.8	3.5
112	513.3	3.5
113	514.8	3.5
114	516.2	3.5
115	517.7	3.5
116	519.2	3.5
117	520.7	3.5
118	522.1	3.5
119	523.6	3.5
120	525.1	3.5
121	526.6	3.5
122	528	3.5
123	529.5	3.5
124	531	3.5
125	532.5	3.5
126	533.9	3.5
127	535.4	3.5
128	536.9	3.5
129	538.3	3.5
130	539.8	3.5
131	541.2	3.5
132	542.7	3.5
133	544.2	3.5
134	545.6	3.5
135	547.1	3.5
136	548.6	3.5
137	550	3.5
138	551.5	3.5
139	552.9	3.5
140	554.4	3.5
141	555.9	3.5
142	557.3	3.5
143	558.8	3.5
144	560.2	3.5
145	561.7	3.5
146	563.1	3.5
147	564.6	3.5
148	566	3.5
149	567.5	3.5
150	568.9	3.5
151	570.4	3.5
152	571.8	3.5
153	573.2	3.5
154	574.7	3.5
155	576.1	3.5
156	577.6	3.5
157	579	3.5
158	580.5	3.5
159	581.9	3.5
160	583.3	3.5
161	584.8	3.5
162	586.2	3.5
163	587.6	3.5
164	589.1	3.5
165	590.5	3.5
166	592	3.5
167	593.4	3.5
168	594.8	3.5
169	596.2	3.5
170	597.7	3.5
171	599.1	3.5
172	600.5	3.5
173	602	3.5
174	603.4	3.5
175	604.8	3.5
176	606.2	3.5
177	607.7	3.5
178	609.1	3.5
179	610.5	3.5
180	611.9	3.5
181	613.4	3.5
182	614.8	3.5
183	616.2	3.5
184	617.6	3.5
185	619	3.5
186	620.4	3.5
