Name	Description	Company	Type no	no of channels
USGS Beckman UV-5240	Beckman UV-5240	Beckman	5240	420
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	395.1	2		
2	397.1	2		
3	399.1	2		
4	401.1	2		
5	403.1	2		
6	405.1	2		
7	407.1	2		
8	409.1	2		
9	411.1	2		
10	412.8	2		
11	415.8	2		
12	418.8	2		
13	421.8	2		
14	424.8	2
15	427.8	2
16	430.8	2
17	433.8	2
18	436.8	2
19	439.8	2
20	442.8	2
21	445.8	2
22	448.8	2
23	451.3	2
24	453.3	2
25	455.3	2
26	457.3	2
27	459.3	2
28	461.3	2
29	463.3	2
30	465.3	2
31	467.3	2
32	469.3	2
33	471.3	2
34	473.3	2
35	475.3	2
36	477.3	2
37	479.3	2
38	481.3	2
39	483.3	2
40	485.3	2
41	487.3	2
42	489.3	2
43	491.3	2
44	493.3	2
45	495.3	2
46	497.3	2
47	499.3	2
48	501.3	2
49	503.3	2
50	505.3	2
51	507.3	2
52	509.3	2
53	511.3	2
54	513.3	2
55	515.3	2
56	517.3	2
57	519.3	2
58	521.3	2
59	523.3	2
60	525.3	2
61	527.3	2
62	529.3	2
63	531.3	2
64	533.3	2
65	535.3	2
66	537.3	2
67	539.3	2
68	541.3	2
69	543.3	2
70	545.3	2
71	547.3	2
72	549.3	2
73	551.3	2
74	553.3	2
75	555.3	2
76	557.3	2
77	559.3	2
78	561.3	2
79	563.3	2
80	565.3	2
81	567.3	2
82	569.3	2
83	571.3	2
84	573.3	2
85	575.3	2
86	577.3	2
87	579.3	2
88	581.3	2
89	583.3	2
90	585.3	2
91	587.3	2
92	589.3	2
93	591.3	2
94	593.3	2
95	595.3	2
96	597.3	2
97	599.3	2
98	601.1	2
99	602.7	2
100	604.3	2
101	605.9	2
102	607.5	2
103	609.1	2
104	610.7	2
105	612.3	2
106	613.9	2
107	615.5	2
108	617.1	2
109	618.7	2
110	620.3	2
111	621.9	2
112	623.5	2
113	625.1	2
114	626.7	2
115	628.3	2
116	629.9	2
117	631.7	2
118	633.7	2
119	635.7	2
120	637.7	2
121	639.7	2
122	641.7	2
123	643.7	2
124	645.7	2
125	647.7	2
126	649.7	2
127	651.7	2
128	653.7	2
129	655.7	2
130	657.7	2
131	659.7	2
132	661.7	2
133	663.7	2
134	665.7	2
135	667.7	2
136	670.2	2
137	673.2	2
138	676.2	2
139	679.2	2
140	682.2	2
141	685.2	2
142	688.2	2
143	691.2	2
144	694.2	2
145	697.2	2
146	700.2	2
147	702	2
148	704	2
149	706	2
150	708	2
151	710	2
152	712	2
153	714	2
154	716	2
155	718	2
156	720	2
157	722	2
158	724	2
159	726	2
160	728	2
161	730	2
162	732	2
163	734	2
164	736	2
165	738	2
166	740	2
167	742	2
168	744	2
169	746	2
170	748	2
171	750.5	2
172	753.5	2
173	756.5	2
174	759.5	2
175	762.5	2
176	765.5	2
177	768.5	2
178	771.5	2
179	774.5	2
180	777.5	2
181	781	2
182	785	2
183	789	2
184	793	2
185	797	2
186	801.5	2
187	806.5	2
188	811.5	2
189	816.5	2
190	822	2
191	828	2
192	835	2
193	843	2
194	851	2
195	859	2
196	871	2
197	883	2
198	894	2
199	904	2
200	914	2
201	924	2
202	933	2
203	941	2
204	949	2
205	957	2
206	964	2
207	970	2
208	976	2
209	982	2
210	988	2
211	994	2
212	1000	2
213	1006	2
214	1012	2
215	1018	2
216	1023.5	2
217	1028.5	2
218	1033.5	2
219	1038.5	2
220	1043.5	2
221	1048.5	2
222	1053.5	2
223	1058.5	2
224	1063.5	2
225	1068.5	2
226	1073.5	2
227	1078.5	2
228	1083.5	2
229	1088.5	2
230	1093.5	2
231	1098.5	2
232	1103.5	2
233	1108.5	2
234	1113.5	2
235	1118.5	2
236	1123.5	2
237	1128.5	2
238	1133.5	2
239	1138.5	2
240	1143.5	2
241	1148.5	2
242	1153.5	2
243	1158.5	2
244	1163.5	2
245	1168.5	2
246	1173.5	2
247	1178.5	2
248	1183.5	2
249	1188.5	2
250	1193.5	2
251	1198.5	2
252	1203.5	2
253	1208.5	2
254	1213.5	2
255	1218.5	2
256	1223.5	2
257	1228.5	2
258	1233.5	2
259	1238.5	2
260	1243.5	2
261	1248.5	2
262	1253.5	2
263	1258.5	2
264	1263.5	2
265	1268.5	2
266	1273.5	2
267	1278.5	2
268	1283.5	2
269	1288.5	2
270	1293.5	2
271	1298.5	2
272	1303.5	2
273	1308.5	2
274	1313.5	2
275	1318.5	2
276	1323.5	2
277	1328.5	2
278	1333.5	2
279	1338.5	2
280	1343.5	2
281	1348.5	2
282	1353.5	2
283	1358.5	2
284	1363.5	2
285	1368.5	2
286	1373.5	2
287	1378.5	2
288	1383.5	2
289	1388.5	2
290	1393.5	2
291	1398.5	2
292	1403.5	2
293	1408.5	2
294	1413.5	2
295	1418.5	2
296	1423.5	2
297	1428.5	2
298	1433.5	2
299	1438.5	2
300	1443.5	2
301	1448.5	2
302	1453.5	2
303	1458.5	2
304	1463.5	2
305	1468.5	2
306	1473.5	2
307	1478.5	2
308	1483.5	2
309	1488.5	2
310	1493.5	2
311	1498.5	2
312	1503.5	2
313	1508.5	2
314	1513.5	2
315	1518.5	2
316	1523.5	2
317	1528.5	2
318	1534	2
319	1540	2
320	1546	2
321	1552	2
322	1558	2
323	1564	2
324	1570.5	2
325	1577.5	2
326	1584.5	2
327	1591.5	2
328	1598.5	2
329	1605.5	2
330	1612.5	2
331	1619.5	2
332	1626.5	2
333	1633.5	2
334	1640.5	2
335	1647.5	2
336	1654.5	2
337	1661.5	2
338	1668.5	2
339	1676	2
340	1684	2
341	1692	2
342	1700	2
343	1708	2
344	1716	2
345	1724	2
346	1732	2
347	1740	2
348	1748	2
349	1756	2
350	1764	2
351	1772	2
352	1780	2
353	1788	2
354	1796	2
355	1805	2
356	1815	2
357	1825	2
358	1835	2
359	1845	2
360	1855	2
361	1865	2
362	1875	2
363	1885	2
364	1895	2
365	1905	2
366	1915	2
367	1925	2
368	1935	2
369	1945	2
370	1955	2
371	1965	2
372	1975	2
373	1985	2
374	1995	2
375	2005	2
376	2015	2
377	2025	2
378	2035	2
379	2045	2
380	2055	2
381	2065	2
382	2075	2
383	2085	2
384	2095	2
385	2105	2
386	2115	2
387	2125	2
388	2135	2
389	2145	2
390	2155	2
391	2165	2
392	2175	2
393	2185	2
394	2195	2
395	2205	2
396	2215	2
397	2225	2
398	2235	2
399	2245	2
400	2255	2
401	2265	2
402	2275	2
403	2285	2
404	2295	2
405	2305	2
406	2315	2
407	2325	2
408	2335	2
409	2345	2
410	2355	2
411	2365	2
412	2375	2
413	2386	2
414	2400	2
415	2418	2
416	2440	2
417	2466	2
418	2496	2
419	2528	2
420	2560	2
